"School Name","School ID","Network","Grade","Year","Number of
Students","Value-Added
Score","95% Confidence
Interval Range","Percentile","Color Reading","Number of
Students","Value-Added
Score","95% Confidence
Interval Range","Percentile","Color Math"
"ALBANY PARK",610212,"O'Hare",8,2011,111.9,0.8,"-0.1 to 1.7",82,"yellow",112.3,-0.6,"-1.2 to -0.1",29,"red"
"ALBANY PARK",610212,"O'Hare","All Grades",2011,231.6,0.3,"-0.6 to 1.1",62,"yellow",232,0.2,"-0.3 to 0.8",60,"yellow"
"ALBANY PARK",610212,"O'Hare",7,2010,109.2,-0.7,"-1.6 to 0.1",23,"yellow",109.2,0.8,"0.2 to 1.3",79,"green"
"ALBANY PARK",610212,"O'Hare",8,2010,114.6,-0.4,"-1.4 to 0.5",30,"yellow",114.6,-0.7,"-1.3 to -0.1",23,"red"
"ALBANY PARK",610212,"O'Hare","All Grades",2010,223.9,-0.8,"-1.6 to 0.1",18,"yellow",223.9,0,"-0.7 to 0.6",50,"yellow"
"ALCOTT ES",609774,"North-Northwest Side High School Network",4,2012,38.0,0.5,"-0.4 to 1.4",67,"Yellow",38.0,1.2,"0.5 to 1.9",90,"Green"
"ALCOTT ES",609774,"North-Northwest Side High School Network",5,2012,41.0,0.8,"-0.4 to 1.9",79,"Yellow",41.0,-0.9,"-1.7 to 0",16,"Red"
"ALCOTT ES",609774,"North-Northwest Side High School Network",6,2012,38.0,0.6,"-0.5 to 1.7",74,"Yellow",38.0,0.1,"-0.6 to 0.8",59,"Yellow"
"ALCOTT ES",609774,"North-Northwest Side High School Network",7,2012,35.0,1.0,"-0.3 to 2.2",83,"Yellow",35.0,1.2,"0.5 to 1.9",90,"Green"
"ALCOTT ES",609774,"North-Northwest Side High School Network",8,2012,38.0,0.2,"-1.1 to 1.4",64,"Yellow",37.0,0.7,"-0.1 to 1.5",79,"Yellow"
"ALCOTT ES",609774,"North-Northwest Side High School Network","All Grades",2012,190.0,1.1,"0.2 to 2",89,"Green",189.0,0.8,"0.2 to 1.3",82,"Green"
"ALCOTT ES",609774,"Fullerton",4,2011,43,0.2,"-0.7 to 1.1",52,"yellow",43,0.4,"-0.3 to 1.1",69,"yellow"
"ALCOTT ES",609774,"Fullerton",5,2011,42,0.1,"-1 to 1.1",53,"yellow",42,-0.9,"-1.7 to -0.1",18,"red"
"ALCOTT ES",609774,"Fullerton",6,2011,38,0.4,"-0.7 to 1.4",64,"yellow",38,-0.4,"-1.1 to 0.3",35,"yellow"
"ALCOTT ES",609774,"Fullerton",7,2011,39,0.2,"-0.9 to 1.3",60,"yellow",39,1.3,"0.6 to 2",91,"green"
"ALCOTT ES",609774,"Fullerton",8,2011,43,-0.1,"-1.3 to 1.1",46,"yellow",39.6,0.4,"-0.5 to 1.2",66,"yellow"
"ALCOTT ES",609774,"Fullerton","All Grades",2011,204.9,0.3,"-0.5 to 1.1",61,"yellow",201.6,0.4,"-0.2 to 0.9",65,"yellow"
"ALCOTT ES",609774,"Fullerton",4,2010,39.8,2.5,"1.5 to 3.4",98,"green",39.8,0.9,"0.2 to 1.7",84,"green"
"ALCOTT ES",609774,"Fullerton",5,2010,38,0.6,"-0.4 to 1.7",73,"yellow",38,-0.5,"-1.2 to 0.2",29,"yellow"
"ALCOTT ES",609774,"Fullerton",6,2010,43.4,-0.1,"-1.2 to 0.9",46,"yellow",43.4,-0.9,"-1.7 to -0.2",16,"red"
"ALCOTT ES",609774,"Fullerton",7,2010,45,0.3,"-0.8 to 1.4",65,"yellow",45,1.6,"0.8 to 2.3",95,"green"
"ALCOTT ES",609774,"Fullerton",8,2010,37,-0.4,"-1.7 to 0.9",29,"yellow",37,-0.1,"-1 to 0.8",48,"yellow"
"ALCOTT ES",609774,"Fullerton","All Grades",2010,203.2,0.9,"0.1 to 1.7",83,"green",203.2,0.3,"-0.3 to 0.9",62,"yellow"
"ALDRIDGE",609848,"Lake Calumet Elementary Network",4,2012,28.6,-1.6,"-2.6 to -0.6",6,"Red",28.6,-2.1,"-2.9 to -1.3",2,"Red"
"ALDRIDGE",609848,"Lake Calumet Elementary Network",5,2012,27.6,-0.2,"-1.5 to 1",38,"Yellow",27.6,-0.3,"-1.2 to 0.7",40,"Yellow"
"ALDRIDGE",609848,"Lake Calumet Elementary Network",6,2012,25.2,-0.2,"-1.5 to 1.1",40,"Yellow",25.2,-0.4,"-1.3 to 0.4",37,"Yellow"
"ALDRIDGE",609848,"Lake Calumet Elementary Network",7,2012,42.0,-0.2,"-1.4 to 0.9",41,"Yellow",42.0,-0.4,"-1 to 0.3",36,"Yellow"
"ALDRIDGE",609848,"Lake Calumet Elementary Network",8,2012,23.6,0.0,"-1.4 to 1.4",52,"Yellow",23.6,-0.8,"-1.8 to 0.1",16,"Yellow"
"ALDRIDGE",609848,"Lake Calumet Elementary Network","All Grades",2012,146.9,-0.8,"-1.8 to 0.2",18,"Yellow",146.9,-1.3,"-2 to -0.7",7,"Red"
"ALDRIDGE",609848,"Lake Calumet",4,2011,28,-0.3,"-1.3 to 0.7",34,"yellow",28,-1.2,"-2 to -0.4",8,"red"
"ALDRIDGE",609848,"Lake Calumet",5,2011,26.8,1.3,"0 to 2.5",91,"green",26.8,-0.3,"-1.2 to 0.7",40,"yellow"
"ALDRIDGE",609848,"Lake Calumet",6,2011,38.5,-0.8,"-1.9 to 0.2",19,"yellow",38.5,-1,"-1.6 to -0.3",16,"red"
"ALDRIDGE",609848,"Lake Calumet",7,2011,24.7,-0.8,"-2.1 to 0.4",19,"yellow",24.7,-0.6,"-1.5 to 0.2",28,"yellow"
"ALDRIDGE",609848,"Lake Calumet",8,2011,36.8,-1,"-2.2 to 0.3",18,"yellow",36.8,-0.9,"-1.8 to -0.1",14,"red"
"ALDRIDGE",609848,"Lake Calumet","All Grades",2011,154.8,-0.8,"-1.7 to 0.1",18,"yellow",154.8,-1.5,"-2.1 to -0.8",7,"red"
"ALDRIDGE",609848,"Lake Calumet",4,2010,26.4,0.2,"-0.9 to 1.2",57,"yellow",26.4,0.1,"-0.8 to 0.9",52,"yellow"
"ALDRIDGE",609848,"Lake Calumet",5,2010,39.8,-0.7,"-1.7 to 0.4",25,"yellow",39.8,-1,"-1.8 to -0.3",12,"red"
"ALDRIDGE",609848,"Lake Calumet",6,2010,26,0.3,"-1 to 1.5",61,"yellow",26,-0.2,"-1.1 to 0.7",44,"yellow"
"ALDRIDGE",609848,"Lake Calumet",7,2010,39,0.6,"-0.5 to 1.8",76,"yellow",39,-0.4,"-1.2 to 0.4",38,"yellow"
"ALDRIDGE",609848,"Lake Calumet",8,2010,28.2,-0.1,"-1.5 to 1.3",46,"yellow",28.2,0.3,"-0.7 to 1.3",65,"yellow"
"ALDRIDGE",609848,"Lake Calumet","All Grades",2010,159.5,0.1,"-0.8 to 1",54,"yellow",159.5,-0.5,"-1.2 to 0.1",29,"yellow"
"ALTGELD",609775,"Englewood-Gresham Elementary Network",4,2012,53.6,-1.9,"-2.7 to -1.1",3,"Red",53.8,1.5,"0.9 to 2.1",93,"Green"
"ALTGELD",609775,"Englewood-Gresham Elementary Network",5,2012,48.6,-3.4,"-4.4 to -2.3",0,"Red",49.6,-3.1,"-3.8 to -2.3",0,"Red"
"ALTGELD",609775,"Englewood-Gresham Elementary Network",6,2012,52.5,-3.2,"-4.2 to -2.2",0,"Red",52.5,-1.4,"-2.1 to -0.8",3,"Red"
"ALTGELD",609775,"Englewood-Gresham Elementary Network",7,2012,54.0,-1.9,"-3 to -0.8",3,"Red",54.2,-3.0,"-3.6 to -2.5",0,"Red"
"ALTGELD",609775,"Englewood-Gresham Elementary Network",8,2012,46.1,-2.4,"-3.6 to -1.2",0,"Red",46.1,0.1,"-0.7 to 0.8",57,"Yellow"
"ALTGELD",609775,"Englewood-Gresham Elementary Network","All Grades",2012,254.8,-4.6,"-5.5 to -3.8",0,"Red",256.2,-2.1,"-2.6 to -1.6",1,"Red"
"ALTGELD",609775,"Englewood-Gresham",4,2011,45.9,1.5,"0.6 to 2.4",94,"green",45.9,1.4,"0.7 to 2.1",93,"green"
"ALTGELD",609775,"Englewood-Gresham",5,2011,56,1.7,"0.7 to 2.7",96,"green",56,-2,"-2.7 to -1.3",1,"red"
"ALTGELD",609775,"Englewood-Gresham",6,2011,57.5,0.2,"-0.8 to 1.1",56,"yellow",57.5,0,"-0.6 to 0.6",49,"yellow"
"ALTGELD",609775,"Englewood-Gresham",7,2011,52.4,3.3,"2.3 to 4.2",99,"green",52.4,-2.1,"-2.7 to -1.4",2,"red"
"ALTGELD",609775,"Englewood-Gresham",8,2011,53.6,2.2,"1.1 to 3.3",98,"green",53.6,0.8,"0.1 to 1.6",81,"green"
"ALTGELD",609775,"Englewood-Gresham","All Grades",2011,265.3,3,"2.2 to 3.7",99,"green",265.3,-0.8,"-1.3 to -0.3",20,"red"
"ALTGELD",609775,"Englewood-Gresham",4,2010,61.4,-1.7,"-2.5 to -0.9",4,"red",61.7,0.1,"-0.5 to 0.7",52,"yellow"
"ALTGELD",609775,"Englewood-Gresham",5,2010,61.2,0.3,"-0.7 to 1.2",60,"yellow",61.2,0.9,"0.3 to 1.5",82,"green"
"ALTGELD",609775,"Englewood-Gresham",6,2010,57.1,-3.3,"-4.3 to -2.3",0,"red",57.1,0.4,"-0.3 to 1",67,"yellow"
"ALTGELD",609775,"Englewood-Gresham",7,2010,56.7,-2.5,"-3.6 to -1.5",1,"red",56.7,-4,"-4.7 to -3.3",0,"red"
"ALTGELD",609775,"Englewood-Gresham",8,2010,52.5,-0.2,"-1.4 to 1",44,"yellow",52.5,-2.7,"-3.5 to -1.9",0,"red"
"ALTGELD",609775,"Englewood-Gresham","All Grades",2010,289,-2.5,"-3.2 to -1.7",0,"red",289.2,-1.6,"-2.2 to -1.1",4,"red"
"AMANDLA CHTR HS",400012,"Charter/Contract Schools",5,2012,39.4,-0.2,"-1.3 to 1",42,"Yellow",39.4,-0.7,"-1.6 to 0.1",21,"Yellow"
"AMANDLA CHTR HS",400012,"Charter/Contract Schools",6,2012,66.8,-0.5,"-1.5 to 0.4",27,"Yellow",67.8,0.6,"0 to 1.1",72,"Green"
"AMANDLA CHTR HS",400012,"Charter/Contract Schools",7,2012,83.6,-0.9,"-1.9 to 0",15,"Yellow",83.6,0.0,"-0.5 to 0.5",52,"Yellow"
"AMANDLA CHTR HS",400012,"Charter/Contract Schools",8,2012,87.2,-0.4,"-1.4 to 0.6",37,"Yellow",87.2,-1.2,"-1.8 to -0.6",8,"Red"
"AMANDLA CHTR HS",400012,"Charter/Contract Schools","All Grades",2012,276.9,-0.9,"-1.8 to -0.1",16,"Red",277.9,-0.5,"-1 to 0",28,"Red"
"AMANDLA CHTR HS",400012,"Southwest Side HS Network",5,2011,43.1,-0.9,"-2 to 0.2",15,"yellow",43.1,-0.5,"-1.3 to 0.4",33,"yellow"
"AMANDLA CHTR HS",400012,"Southwest Side HS Network",6,2011,84.4,0.5,"-0.4 to 1.3",65,"yellow",84.4,1.5,"1 to 2",92,"green"
"AMANDLA CHTR HS",400012,"Southwest Side HS Network",7,2011,97.4,-0.8,"-1.6 to 0",20,"red",97.4,1.5,"1 to 2",94,"green"
"AMANDLA CHTR HS",400012,"Southwest Side HS Network","All Grades",2011,224.9,-0.5,"-1.4 to 0.3",27,"yellow",224.9,2.1,"1.5 to 2.6",97,"green"
"AMANDLA CHTR HS",400012,"Southwest Side HS Network",5,2010,52.2,1,"0 to 2",84,"green",52.2,0.7,"0.1 to 1.4",77,"green"
"AMANDLA CHTR HS",400012,"Southwest Side HS Network",6,2010,92.9,1.5,"0.7 to 2.3",95,"green",92.9,1.6,"1.1 to 2.1",93,"green"
"AMANDLA CHTR HS",400012,"Southwest Side HS Network","All Grades",2010,145.1,1.8,"0.9 to 2.7",97,"green",145.2,2.1,"1.4 to 2.8",97,"green"
"AMES",609780,"Fullerton Elementary Network",7,2012,236.0,-0.6,"-1.4 to 0.1",26,"Yellow",235.0,-0.7,"-1 to -0.4",23,"Red"
"AMES",609780,"Fullerton Elementary Network",8,2012,266.0,0.4,"-0.3 to 1.1",70,"Yellow",263.1,1.1,"0.7 to 1.5",87,"Green"
"AMES",609780,"Fullerton Elementary Network","All Grades",2012,502.0,-0.2,"-0.9 to 0.5",39,"Yellow",498.1,0.3,"-0.1 to 0.7",65,"Yellow"
"AMES",609780,"Fullerton",7,2011,242.4,-2.2,"-2.8 to -1.6",2,"red",242.1,-2.1,"-2.5 to -1.8",1,"red"
"AMES",609780,"Fullerton",8,2011,254.5,0.5,"-0.2 to 1.2",70,"yellow",254.8,0.1,"-0.3 to 0.4",55,"yellow"
"AMES",609780,"Fullerton","All Grades",2011,496.9,-1.5,"-2.1 to -0.8",5,"red",497,-1.9,"-2.3 to -1.5",2,"red"
"AMES",609780,"Fullerton",7,2010,261.9,-2.8,"-3.5 to -2.1",0,"red",261.5,-1.7,"-2.1 to -1.3",3,"red"
"AMES",609780,"Fullerton",8,2010,276,-3,"-3.7 to -2.2",0,"red",276,-1,"-1.4 to -0.6",15,"red"
"AMES",609780,"Fullerton","All Grades",2010,537.9,-3.9,"-4.5 to -3.2",0,"red",537.6,-2,"-2.5 to -1.6",1,"red"
"ARIEL",609951,"Burnham Park Elementary Network",4,2012,52.0,0.0,"-0.7 to 0.8",47,"Yellow",52.0,2.7,"2.1 to 3.3",98,"Green"
"ARIEL",609951,"Burnham Park Elementary Network",5,2012,47.6,0.3,"-0.7 to 1.4",63,"Yellow",47.6,-0.9,"-1.7 to -0.1",16,"Red"
"ARIEL",609951,"Burnham Park Elementary Network",6,2012,54.5,-1.7,"-2.7 to -0.7",3,"Red",54.5,-1.1,"-1.7 to -0.5",11,"Red"
"ARIEL",609951,"Burnham Park Elementary Network",7,2012,50.3,-1.4,"-2.5 to -0.3",8,"Red",50.3,0.2,"-0.4 to 0.8",62,"Yellow"
"ARIEL",609951,"Burnham Park Elementary Network",8,2012,51.8,0.0,"-1.1 to 1.1",53,"Yellow",51.8,-1.0,"-1.7 to -0.3",13,"Red"
"ARIEL",609951,"Burnham Park Elementary Network","All Grades",2012,256.3,-1.1,"-1.9 to -0.3",12,"Red",256.3,0.0,"-0.5 to 0.5",51,"Yellow"
"ARIEL",609951,"Burnham Park",4,2011,44.5,-1,"-1.9 to -0.2",13,"red",44.5,0.7,"0.1 to 1.4",78,"green"
"ARIEL",609951,"Burnham Park",5,2011,53.9,-1.6,"-2.6 to -0.6",3,"red",53.9,1.9,"1.2 to 2.6",95,"green"
"ARIEL",609951,"Burnham Park",6,2011,52.9,-0.7,"-1.7 to 0.2",23,"yellow",52.9,-1.4,"-2 to -0.8",6,"red"
"ARIEL",609951,"Burnham Park",7,2011,51.5,-0.6,"-1.6 to 0.4",26,"yellow",51.5,-0.4,"-1 to 0.2",38,"yellow"
"ARIEL",609951,"Burnham Park",8,2011,38.6,-0.6,"-1.8 to 0.6",32,"yellow",38.6,-0.4,"-1.2 to 0.4",35,"yellow"
"ARIEL",609951,"Burnham Park","All Grades",2011,241.4,-1.6,"-2.3 to -0.8",4,"red",241.4,0,"-0.5 to 0.5",51,"yellow"
"ARIEL",609951,"Burnham Park",4,2010,50.5,1.9,"1 to 2.7",97,"green",50.5,0.4,"-0.3 to 1",66,"yellow"
"ARIEL",609951,"Burnham Park",5,2010,49.9,1.2,"0.2 to 2.2",90,"green",49.9,0.7,"0.1 to 1.4",78,"green"
"ARIEL",609951,"Burnham Park",6,2010,46,0.6,"-0.5 to 1.6",71,"yellow",46,1.9,"1.2 to 2.6",96,"green"
"ARIEL",609951,"Burnham Park",7,2010,36.3,0.2,"-1 to 1.4",62,"yellow",36.3,0.2,"-0.7 to 1",58,"yellow"
"ARIEL",609951,"Burnham Park",8,2010,41.7,-1.4,"-2.6 to -0.1",9,"red",41.6,0.2,"-0.7 to 1",60,"yellow"
"ARIEL",609951,"Burnham Park","All Grades",2010,224.4,0.9,"0.2 to 1.7",84,"green",224.3,1.2,"0.7 to 1.8",91,"green"
"ARMOUR",609777,"Pershing Elementary Network",4,2012,26.2,-0.5,"-1.6 to 0.5",27,"Yellow",26.2,-1.4,"-2.2 to -0.5",8,"Red"
"ARMOUR",609777,"Pershing Elementary Network",5,2012,24.0,0.1,"-1.2 to 1.4",51,"Yellow",24.0,-0.4,"-1.4 to 0.6",36,"Yellow"
"ARMOUR",609777,"Pershing Elementary Network",6,2012,24.0,0.1,"-1.2 to 1.4",56,"Yellow",24.0,-0.6,"-1.5 to 0.2",29,"Yellow"
"ARMOUR",609777,"Pershing Elementary Network",7,2012,48.2,-1.7,"-2.8 to -0.5",4,"Red",48.2,-0.5,"-1.1 to 0.1",33,"Yellow"
"ARMOUR",609777,"Pershing Elementary Network",8,2012,26.5,-0.2,"-1.5 to 1.2",44,"Yellow",26.5,-0.1,"-1 to 0.8",49,"Yellow"
"ARMOUR",609777,"Pershing Elementary Network","All Grades",2012,148.9,-1.1,"-2.1 to -0.1",11,"Red",148.9,-1.0,"-1.6 to -0.4",13,"Red"
"ARMOUR",609777,"Pershing",4,2011,17.5,0.3,"-0.9 to 1.5",58,"yellow",17.5,-0.9,"-1.9 to 0.1",17,"yellow"
"ARMOUR",609777,"Pershing",5,2011,23.2,-0.4,"-1.7 to 0.9",32,"yellow",23.2,-0.2,"-1.2 to 0.8",40,"yellow"
"ARMOUR",609777,"Pershing",6,2011,44.9,0.7,"-0.4 to 1.7",71,"yellow",44.9,-0.4,"-1 to 0.3",36,"yellow"
"ARMOUR",609777,"Pershing",7,2011,25.9,0.1,"-1.2 to 1.3",54,"yellow",25.9,0.6,"-0.2 to 1.5",75,"yellow"
"ARMOUR",609777,"Pershing",8,2011,22.9,-0.3,"-1.8 to 1.1",39,"yellow",23,-0.9,"-1.9 to 0.1",16,"yellow"
"ARMOUR",609777,"Pershing","All Grades",2011,134.5,0.3,"-0.7 to 1.2",61,"yellow",134.6,-0.5,"-1.2 to 0.2",30,"yellow"
"ARMOUR",609777,"Pershing",4,2010,16.5,-0.6,"-1.8 to 0.6",23,"yellow",16.5,-0.3,"-1.3 to 0.7",33,"yellow"
"ARMOUR",609777,"Pershing",5,2010,33.2,0,"-1.1 to 1.2",50,"yellow",33.2,-1.8,"-2.6 to -1",2,"red"
"ARMOUR",609777,"Pershing",6,2010,25.9,0.5,"-0.7 to 1.8",70,"yellow",25.9,-0.2,"-1.1 to 0.7",44,"yellow"
"ARMOUR",609777,"Pershing",7,2010,21.6,0,"-1.4 to 1.4",52,"yellow",21.6,1.4,"0.4 to 2.4",92,"green"
"ARMOUR",609777,"Pershing",8,2010,33.5,1,"-0.4 to 2.3",85,"yellow",33.5,0,"-0.9 to 1",56,"yellow"
"ARMOUR",609777,"Pershing","All Grades",2010,130.7,0.4,"-0.5 to 1.4",68,"yellow",130.7,-0.5,"-1.2 to 0.3",32,"yellow"
"ARMSTRONG, G",609779,"Ravenswood-Ridge Elementary Network",4,2012,93.4,-1.1,"-1.7 to -0.4",13,"Red",93.4,-0.3,"-0.8 to 0.2",37,"Yellow"
"ARMSTRONG, G",609779,"Ravenswood-Ridge Elementary Network",5,2012,113.7,-0.5,"-1.3 to 0.3",28,"Yellow",113.7,0.4,"-0.1 to 1",68,"Yellow"
"ARMSTRONG, G",609779,"Ravenswood-Ridge Elementary Network",6,2012,116.9,0.8,"0 to 1.6",81,"Green",116.9,0.9,"0.5 to 1.3",80,"Green"
"ARMSTRONG, G",609779,"Ravenswood-Ridge Elementary Network",7,2012,121.5,-0.2,"-1 to 0.7",45,"Yellow",121.0,1.4,"1 to 1.8",92,"Green"
"ARMSTRONG, G",609779,"Ravenswood-Ridge Elementary Network",8,2012,111.6,0.1,"-0.8 to 1",59,"Yellow",110.6,0.4,"-0.1 to 1",72,"Yellow"
"ARMSTRONG, G",609779,"Ravenswood-Ridge Elementary Network","All Grades",2012,557.2,-0.2,"-0.8 to 0.4",39,"Yellow",555.7,1.0,"0.7 to 1.4",87,"Green"
"ARMSTRONG, G",609779,"Ravenswood-Ridge",4,2011,89.4,-0.1,"-0.7 to 0.6",42,"yellow",89.4,-1.1,"-1.6 to -0.6",12,"red"
"ARMSTRONG, G",609779,"Ravenswood-Ridge",5,2011,115.1,-0.7,"-1.5 to 0.1",19,"yellow",115.1,0.2,"-0.4 to 0.7",58,"yellow"
"ARMSTRONG, G",609779,"Ravenswood-Ridge",6,2011,105.4,0.7,"0 to 1.4",73,"yellow",105.4,0.4,"0 to 0.9",69,"green"
"ARMSTRONG, G",609779,"Ravenswood-Ridge",7,2011,110.9,-0.1,"-0.9 to 0.7",45,"yellow",110.9,0.4,"-0.1 to 0.8",65,"yellow"
"ARMSTRONG, G",609779,"Ravenswood-Ridge",8,2011,107.1,-0.6,"-1.5 to 0.3",31,"yellow",107.1,2.2,"1.6 to 2.7",98,"green"
"ARMSTRONG, G",609779,"Ravenswood-Ridge","All Grades",2011,527.9,-0.2,"-0.8 to 0.4",42,"yellow",527.9,0.7,"0.4 to 1.1",78,"green"
